href,language_num,sex,speakerId,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,[u'256'],"[u'shanxi', u'province,', u'shanxi,', u'china']",mandarin,[u'none'],"26,",13.0,academic,[u'usa'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=257,mandarin2,female,[u'257'],"[u'nanjing,', u'china']",mandarin,"[u'japanese', u'']","38,",14.0,academic,[u'usa'],0.8,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,mandarin3,male,[u'258'],"[u'jilin', u'city,', u'jilin,', u'china']",mandarin,"[u'italian', u'german', u'french', u'']","43,",10.0,academic,[u'usa'],14.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=259,mandarin4,female,[u'259'],"[u'shanghai,', u'china']",mandarin,"[u'japanese', u'']","24,",6.0,academic,[u'usa'],1.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=260,mandarin5,female,[u'260'],"[u'beijing,', u'china']",mandarin,[u'none'],"31,",12.0,academic,[u'usa'],2.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=261,mandarin6,female,[u'261'],"[u'le', u'shan,', u'sichuan,', u'china']",mandarin,[u'none'],"28,",12.0,academic,[u'usa'],5.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,mandarin7,male,[u'262'],"[u'berkeley,', u'california,', u'usa']",mandarin,"[u'mandarin', u'']","22,",5.0,naturalistic,[u'usa'],22.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,mandarin8,male,[u'430'],"[u'jingmen,', u'hubei,', u'china']",mandarin,[u'none'],"29,",12.0,academic,[u'usa'],5.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,mandarin9,male,[u'451'],"[u'shanghai,', u'china']",mandarin,[u'none'],"38,",12.0,academic,[u'usa'],2.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10,male,[u'491'],"[u'beijing,', u'china']",mandarin,[u'none'],"19,",3.0,academic,"[u'south', u'africa']",3.75,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=607,mandarin11,female,[u'607'],"[u'kao-hsiung,', u'taiwan']",mandarin,"[u'cantonese', u'']","53,",13.0,academic,[u'usa'],33.0,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=623,mandarin12,male,[u'623'],"[u'singapore,', u'singapore']",mandarin,"[u'cantonese', u'spanish', u'french', u'']","23,",1.0,naturalistic,"[u'singapore,', u'uk']",23.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=685,mandarin13,male,[u'685'],"[u'nantou,', u'taiwan']",mandarin,"[u'taiwanese', u'']","29,",13.0,academic,[u''],0.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=719,mandarin14,male,[u'719'],"[u'dalian,', u'liaoning,', u'china']",mandarin,[u'none'],"49,",20.0,academic,[u'usa'],21.0,49
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=746,mandarin15,female,[u'746'],"[u'tainan,', u'taiwan']",mandarin,"[u'french', u'swedish', u'japanese', u'']","28,",11.0,academic,"[u'new', u'zealand,', u'usa,', u'uk']",4.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=750,mandarin16,male,[u'750'],"[u'taipei,', u'taiwan']",mandarin,"[u'taiwanese', u'japanese', u'']","32,",10.0,academic,[u'usa'],1.35,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=796,mandarin17,male,[u'796'],"[u'wuhan,', u'hubei,', u'china']",mandarin,[u'none'],"26,",13.0,academic,[u'canada'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=872,mandarin18,female,[u'872'],"[u'taoyuan,', u'taiwan']",mandarin,"[u'hakka', u'']","29,",13.0,academic,[u''],0.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=916,mandarin19,male,[u'916'],"[u'qinzhou,', u'guangxi,', u'china']",mandarin,[u'none'],"27,",13.0,academic,[u'australia'],0.33,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=931,mandarin20,female,[u'931'],"[u'ping', u'tong,', u'taiwan']",mandarin,"[u'russian', u'']","40,",12.0,academic,[u'usa'],5.0,40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=984,mandarin21,female,[u'984'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,[u'none'],"38,",9.0,academic,[u'usa'],13.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1019,mandarin22,female,[u'1019'],"[u'haikou,', u'hainan,', u'china']",mandarin,"[u'cantonese', u'taiwanese', u'']","39,",11.0,academic,[u'usa'],3.0,39
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1044,mandarin23,female,[u'1044'],"[u'kao-hsiung,', u'taiwan']",mandarin,"[u'cantonese', u'taiwanese', u'']","46,",13.0,academic,[u'usa'],22.0,46
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1089,mandarin24,female,[u'1089'],"[u'shanghai,', u'china']",mandarin,[u'none'],"21,",10.0,academic,[u''],0.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1125,mandarin25,female,[u'1125'],"[u'wuxi,', u'jiangsu,', u'china']",mandarin,"[u'german', u'']","28,",13.0,academic,[u'usa'],0.8,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1141,mandarin26,female,[u'1141'],"[u'emei,', u'sichuan,', u'china']",mandarin,[u'none'],"31,",12.0,academic,[u'usa'],3.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1154,mandarin27,male,[u'1154'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,[u'none'],"18,",15.0,academic,[u'usa'],3.0,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1447,mandarin28,male,[u'1447'],"[u'shanghai,', u'china']",mandarin,[u'none'],"45,",15.0,academic,[u'usa'],20.0,45
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1490,mandarin29,male,[u'1490'],"[u'lanzhou,', u'gansu,', u'china']",mandarin,[u'none'],"24,",4.0,academic,[u''],0.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1491,mandarin30,male,[u'1491'],"[u'taipei,', u'taiwan']",mandarin,[u'none'],"27,",13.0,academic,[u'usa'],1.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1519,mandarin31,female,[u'1519'],"[u'wenzhou,', u'zhejiang,', u'china']",mandarin,[u'none'],"26,",13.0,academic,[u'usa'],2.5,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1527,mandarin32,female,[u'1527'],"[u'taipei,', u'taiwan']",mandarin,"[u'japanese', u'']","23,",12.0,academic,[u'usa'],2.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1541,mandarin33,male,[u'1541'],"[u'beijing,', u'china']",mandarin,"[u'french', u'']","25,",6.0,naturalistic,"[u'thailand,', u'australia,', u'usa']",20.0,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1578,mandarin34,female,[u'1578'],"[u'shi', u'jia', u'zhuang,', u'hebei,', u'china']",mandarin,"[u'japanese', u'']","31,",13.0,academic,[u''],0.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1579,mandarin35,female,[u'1579'],"[u'yantai,', u'shandong,', u'china']",mandarin,"[u'japanese', u'']","27,",12.0,academic,[u''],0.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1580,mandarin36,female,[u'1580'],"[u'beijing,', u'china']",mandarin,[u'none'],"32,",10.0,academic,[u''],0.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1581,mandarin37,female,[u'1581'],"[u'huhot,', u'nei', u'meng', u'gu,', u'china']",mandarin,[u'none'],"32,",12.0,academic,[u''],0.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1582,mandarin38,female,[u'1582'],"[u'changsha,', u'hunan,', u'china']",mandarin,[u'none'],"33,",12.0,academic,"[u'australia,', u'usa']",0.1,33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1583,mandarin39,female,[u'1583'],"[u'tie', u'ling,', u'liaoning,', u'china']",mandarin,"[u'russian', u'']","24,",12.0,academic,[u''],0.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1614,mandarin40,male,[u'1614'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,"[u'japanese', u'thai', u'']","28,",12.0,academic,"[u'singapore,', u'usa']",9.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1615,mandarin41,female,[u'1615'],"[u'songyuan,', u'jilin,', u'china']",mandarin,[u'none'],"34,",13.0,academic,[u''],0.0,34
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1616,mandarin42,female,[u'1616'],"[u'yanbian,', u'jilin,', u'china']",mandarin,[u'none'],"47,",16.0,academic,[u''],0.0,47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1617,mandarin43,female,[u'1617'],"[u'datong,', u'shanxi,', u'china']",mandarin,[u'none'],"24,",15.0,academic,[u''],0.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1630,mandarin44,male,[u'1630'],"[u'hangzhou,', u'zhejiang,', u'china']",mandarin,[u'none'],"21,",16.0,academic,[u'usa'],1.5,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1631,mandarin45,female,[u'1631'],"[u'beijing,', u'china']",mandarin,[u'none'],"42,",12.0,academic,"[u'usa,', u'australia']",0.1,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1636,mandarin46,female,[u'1636'],"[u'jilin', u'city,', u'jilin,', u'china']",mandarin,"[u'arabic', u'']","43,",9.0,academic,[u''],0.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1644,mandarin47,female,[u'1644'],"[u'beijing,', u'china']",mandarin,"[u'japanese', u'french', u'']","28,",8.0,academic,[u''],0.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1645,mandarin48,male,[u'1645'],"[u'pingdingshan,', u'henan,', u'china']",mandarin,[u'none'],"37,",12.0,academic,[u''],0.0,37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1736,mandarin49,male,[u'1736'],"[u'shanghai,', u'china']",mandarin,"[u'french', u'']","21,",10.0,academic,[u'australia'],2.5,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1788,mandarin50,male,[u'1788'],"[u'hsinchu,', u'taiwan']",mandarin,"[u'taiwanese', u'']","25,",9.0,academic,[u'usa'],0.2,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1792,mandarin51,male,[u'1792'],"[u'tianjin,', u'hebei,', u'china']",mandarin,[u'none'],"25,",10.0,academic,[u'usa'],2.0,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1793,mandarin52,female,[u'1793'],"[u'shaoxing,', u'zhejiang,', u'china']",mandarin,"[u'japanese', u'']","26,",6.0,academic,[u'usa'],1.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1817,mandarin53,female,[u'1817'],"[u'ningbo,', u'zhejiang,', u'china']",mandarin,[u'none'],"38,",13.0,academic,[u'usa'],15.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1900,mandarin54,female,[u'1900'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,"[u'japanese', u'']","25,",10.0,academic,[u'usa'],5.0,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1909,mandarin55,female,[u'1909'],"[u'loudi,', u'hunan,', u'china']",mandarin,"[u'japanese', u'spanish', u'']","25,",13.0,academic,[u'usa'],1.5,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1910,mandarin56,female,[u'1910'],"[u'baoding,', u'hebei,', u'china']",mandarin,"[u'korean', u'thai', u'']","26,",11.0,academic,[u'usa'],0.7,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1990,mandarin57,male,[u'1990'],"[u'shanghai,', u'china']",mandarin,"[u'cantonese', u'']","20,",12.0,academic,[u'uk'],0.2,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2000,mandarin58,male,[u'2000'],"[u'superior,', u'colorado,', u'usa']",mandarin,"[u'french', u'']","23,",7.0,naturalistic,[u'usa'],16.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2019,mandarin59,female,[u'2019'],"[u'kunming,', u'yunnan,', u'china']",mandarin,[u'none'],"20,",6.0,academic,[u'usa'],0.4,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2109,mandarin60,female,[u'2109'],"[u'guiyang,', u'guizhou,', u'china']",mandarin,"[u'cantonese', u'']","41,",13.0,academic,[u'usa'],15.0,41
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2116,mandarin61,female,[u'2116'],"[u'shangrao,', u'jiangxi,', u'china']",mandarin,"[u'cantonese', u'']","33,",16.0,academic,"[u'northern', u'mariana', u'islands']",17.0,33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2117,mandarin62,male,[u'2117'],"[u'shanghai,', u'china']",mandarin,"[u'spanish', u'']","24,",7.0,academic,[u'usa'],5.5,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2119,mandarin63,male,[u'2119'],"[u'jiaozuo,', u'henan,', u'china']",mandarin,"[u'french', u'']","27,",12.0,academic,[u'usa'],4.3,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2129,mandarin64,female,[u'2129'],"[u'fuzhou,', u'fujian,', u'china']",mandarin,"[u'min', u'dong', u'']","24,",10.0,academic,[u'usa'],5.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2173,mandarin65,female,[u'2173'],"[u'tianjin,', u'hebei,', u'china']",mandarin,"[u'french', u'']","20,",5.0,academic,[u'usa'],1.7,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2252,mandarin66,female,[u'2252'],"[u'shanghai,', u'china']",mandarin,"[u'spanish', u'']","22,",19.0,academic,[u'usa'],3.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2274,mandarin67,male,[u'2274'],"[u'nanjing,', u'china']",mandarin,[u'none'],"23,",13.0,academic,[u''],0.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2281,mandarin68,male,[u'2281'],"[u'dongyang,', u'zhejiang,', u'china']",mandarin,[u'none'],"23,",10.0,academic,[u''],0.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2282,mandarin69,male,[u'2282'],"[u'taizhou,', u'jiangsu,', u'china']",mandarin,"[u'german', u'']","22,",12.0,academic,[u''],0.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2291,mandarin70,female,[u'2291'],"[u'shanghai,', u'china']",mandarin,"[u'japanese', u'']","21,",8.0,academic,[u'usa'],2.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2294,mandarin71,female,[u'2294'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,"[u'french', u'']","20,",6.0,academic,[u'usa'],0.2,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2306,mandarin72,female,[u'2306'],"[u'taichung,', u'taiwan']",mandarin,"[u'taiwanese', u'']","22,",10.0,academic,[u'usa'],10.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2319,mandarin73,female,[u'2319'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,[u'none'],"27,",10.0,academic,[u'usa'],10.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2323,mandarin74,male,[u'2323'],"[u'shenzhen,', u'china']",mandarin,[u'none'],"19,",13.0,naturalistic,[u'usa'],4.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2332,mandarin75,male,[u'2332'],"[u'taipei,', u'taiwan']",mandarin,"[u'taiwanese', u'']","20,",13.0,naturalistic,[u'usa'],6.5,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2348,mandarin76,male,[u'2348'],"[u'zhengzhou,', u'henan,', u'china']",mandarin,[u'none'],"29,",12.0,academic,[u'usa'],5.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2355,mandarin77,female,[u'2355'],"[u'jingjiang,', u'jiangsu,', u'china']",mandarin,"[u'german', u'']","20,",8.0,academic,[u''],0.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2360,mandarin78,female,[u'2360'],"[u'ganzhou,', u'jiangxi,', u'china']",mandarin,"[u'japanese', u'korean', u'']","20,",6.0,academic,[u''],0.0,20
