,age,age_onset,birthplace,english_learning_method,english_residence,file_present,filename,length_of_english_residence,native_language,sex,speakerid
0,38,12,"riyadh, saudi arabia",academic,usa,TRUE,arabic1,4,arabic,female,11
1,26,5,"cairo, egypt",academic,usa,TRUE,arabic10,2,arabic,male,12
2,30,14,"monastir, tunisia",academic,usa,TRUE,arabic11,4,arabic,female,13
3,32,11,"baghdad, iraq",academic,usa,TRUE,arabic12,8,arabic,male,14
4,25,15,"zabbougha, lebanon",academic,usa,TRUE,arabic13,1,arabic,male,15
5,18,2.5,"damascus, syria",naturalistic,usa,TRUE,arabic2,3,arabic,male,16
6,24,9,"doha, qatar",academic,usa,TRUE,arabic3,1,arabic,male,17
7,19,6,"sharjah, united arab emirates",academic,usa,TRUE,arabic4,0.6,arabic,male,18
8,19,15,"casablanca, morocco",academic,usa,TRUE,arabic5,0.6,arabic,female,19
9,21,14.5,"sanaa, yemen",academic,"uk,usa",TRUE,arabic6,2,arabic,male,20
10,18,15,"casablanca, morocco",academic,usa,TRUE,arabic7,0.1,arabic,female,21
11,21,17,"casablanca, morocco",academic,usa,TRUE,arabic8,0.7,arabic,male,22
12,28,4,"jerusalem, israel",academic,usa,TRUE,arabic9,12,arabic,female,23
13,42,0,"pittsburgh, pennsylvania, usa",naturalistic,usa,TRUE,english1,41,english,male,61
14,35,0,"davenport, iowa, usa",naturalistic,usa,TRUE,english10,35,english,female,62
15,23,0,"miami, florida, usa",naturalistic,usa,TRUE,english100,23,english,female,63
16,18,0,"toronto, ontario, canada",naturalistic,canada,TRUE,english101,18,english,female,64
17,22,0,"torrington, connecticut, usa",naturalistic,usa,TRUE,english102,22,english,male,65
18,21,0,"staten island, new york, usa",naturalistic,usa,TRUE,english103,21,english,male,66
19,18,0,"youngstown, ohio, usa",naturalistic,usa,TRUE,english104,18,english,female,67
20,35,0,"staffordshire, uk",naturalistic,uk,TRUE,english11,35,english,female,68
21,71,0,"leicester, uk",naturalistic,uk,TRUE,english12,71,english,female,69
22,69,0,"henley on thames, oxfordshire, uk",naturalistic,uk,TRUE,english13,69,english,male,70
23,40,0,"belfast, northern ireland, uk",naturalistic,"uk,usa",TRUE,english14,40,english,male,71
24,7,0,"norton, virginia, usa",naturalistic,usa,TRUE,english15,7,english,female,72
25,21,0,"wise, virginia, usa",naturalistic,usa,TRUE,english16,21,english,male,73
26,79,0,"darwin va, virginia, usa",naturalistic,usa,TRUE,english17,79,english,male,74
27,39,0,"dickenson county, virginia, usa",naturalistic,usa,TRUE,english18,39,english,female,75
28,53,0,"louisville, kentucky, usa",naturalistic,usa,TRUE,english19,53,english,male,76
29,30,0,"birmingham, uk",naturalistic,uk,TRUE,english2,30,english,female,77
30,27,0,"mt. holly, north carolina, usa",naturalistic,usa,TRUE,english20,27,english,female,78
31,37,0,"boston, massachusetts, usa",naturalistic,usa,TRUE,english21,37,english,female,79
32,25,0,"panama city, panama",naturalistic,usa,TRUE,english22,5,english,female,80
33,43,0,"englewood, tennessee, usa",naturalistic,usa,TRUE,english23,43,english,male,81
34,37,0,"glasgow, scotland, uk",naturalistic,"uk,usa",TRUE,english24,37,english,male,82
35,57,0,"atlanta, georgia, usa",naturalistic,usa,TRUE,english25,57,english,male,83
36,71,0,"smith island, maryland, usa",naturalistic,usa,TRUE,english26,71,english,male,84
37,37,0,"smith island, maryland, usa",naturalistic,usa,TRUE,english27,37,english,female,85
38,54,0,"toronto, ontario, canada",naturalistic,canada,TRUE,english28,54,english,male,86
39,54,0,"lindsay, ontario, canada",naturalistic,canada,TRUE,english29,54,english,female,87
40,26,0,"brisbane, australia",naturalistic,australia,TRUE,english3,26,english,female,88
41,30,0,"st. mary's, ontario, canada",naturalistic,canada,TRUE,english30,30,english,female,89
42,31,0,"st. augustine, trinidad",naturalistic,"trinidad,usa",TRUE,english31,31,english,female,90
43,50,0,"fresno, california, usa",naturalistic,usa,TRUE,english32,50,english,female,91
44,21,0,"san diego, california, usa",naturalistic,usa,TRUE,english33,21,english,male,92
45,18,0,"ronkonkoma, new york, usa",naturalistic,usa,TRUE,english34,18,english,female,93
46,60,0,"milwaukee, wisconsin, usa",naturalistic,usa,TRUE,english35,60,english,female,94
47,60,0,"arcadia, wisconsin, usa",naturalistic,usa,TRUE,english36,60,english,male,95
48,28,0,"yole, india",naturalistic,usa,TRUE,english37,7,english,female,96
49,27,0,"littlehampton, uk",naturalistic,uk,TRUE,english38,27,english,male,97
50,59,0,"new orleans, louisiana, usa",naturalistic,usa,TRUE,english39,59,english,female,98
51,53,0,"saint anne's bay, jamaica",naturalistic,"jamaica,usa",TRUE,english4,53,english,female,99
52,53,0,"dudley, uk",naturalistic,uk,TRUE,english40,53,english,male,100
53,44,0,"wellington, new zealand",naturalistic,new zealand,TRUE,english41,21,english,male,101
54,65,0,"nigel, south africa",naturalistic,south africa,TRUE,english42,60,english,male,102
55,47,0,"vancouver, british columbia, canada",naturalistic,canada,TRUE,english43,47,english,male,103
56,63,0,"winston salem, north carolina, usa",naturalistic,usa,TRUE,english44,63,english,female,104
57,52,0,"pine bluff, arkansas, usa",naturalistic,usa,TRUE,english45,52,english,male,105
58,73,0,"creswell, north carolina, usa",naturalistic,usa,TRUE,english46,73,english,male,106
59,76,0,"plantersville, arkansas, usa",naturalistic,usa,TRUE,english47,76,english,female,107
60,26,0,"port moresby, national capital district, papua new guinea",naturalistic,"papua new guinea,uk,usa",TRUE,english48,26,english,male,108
61,43,0,"castro valley, california, usa",naturalistic,usa,TRUE,english49,43,english,male,109
62,62,0,"fairfax, virginia, usa",naturalistic,usa,TRUE,english5,62,english,male,110
63,29,0,"baltic, south dakota, usa",naturalistic,usa,TRUE,english50,29,english,female,111
64,67,0,"detroit, michigan, usa",naturalistic,usa,TRUE,english51,67,english,male,112
65,20,0,"calgary, alberta, canada",naturalistic,"canada, usa",TRUE,english52,20,english,male,113
66,63,0,"syracuse, new york, usa",naturalistic,usa,TRUE,english53,63,english,male,114
67,40,0,"new albany, indiana, usa",naturalistic,usa,TRUE,english54,40,english,female,115
68,53,0,"st. louis, missouri, usa",naturalistic,usa,TRUE,english55,53,english,female,116
69,20,0,"londonderry, northern ireland, uk",naturalistic,northern ireland,TRUE,english56,20,english,male,117
70,34,0,"birmingham 1, uk",naturalistic,"uk,canada",TRUE,english57,34,english,male,118
71,46,0,"southhampton, uk",naturalistic,"uk,usa",TRUE,english58,16,english,female,119
72,30,0,"columbus, ohio, usa",naturalistic,usa,TRUE,english59,30,english,male,120
73,45,0,"brooklyn, new york, usa",naturalistic,usa,TRUE,english6,45,english,female,121
74,18,0,"chesapeake, virginia, usa",naturalistic,usa,TRUE,english60,18,english,male,122
75,19,0,"toronto, ontario, canada",naturalistic,canada,TRUE,english61,19,english,male,123
76,30,0,"west jordan, utah, usa",naturalistic,usa,TRUE,english62,30,english,male,124
77,21,0,"lewisville, texas, usa",naturalistic,usa,TRUE,english63,21,english,male,125
78,25,0,"montreal, quebec, canada",naturalistic,canada,TRUE,english64,25,english,female,126
79,47,0,"lewistown, pennsylvania, usa",naturalistic,usa,TRUE,english65,47,english,male,127
80,19,0,"baltimore, maryland, usa",naturalistic,usa,TRUE,english66,19,english,male,128
81,37,0,"princeton, indiana, usa",naturalistic,usa,TRUE,english67,37,english,male,129
82,52,0,"new york, new york, usa",naturalistic,usa,TRUE,english68,52,english,male,130
83,23,0,"adelaide, australia",naturalistic,australia,TRUE,english69,23,english,male,131
84,52,0,"macon, mississippi, usa",naturalistic,usa,TRUE,english7,52,english,male,132
85,21,0,"beaumont, texas, usa",naturalistic,usa,TRUE,english70,21,english,male,133
86,20,0,"west covina, california, usa",naturalistic,usa,TRUE,english71,20,english,male,134
87,31,0,"kilkenny, ireland",naturalistic,ireland,TRUE,english72,31,english,male,135
88,24,0,"darwin, australia",naturalistic,australia,TRUE,english73,24,english,male,136
89,21,0,"wichita, kansas, usa",naturalistic,usa,TRUE,english74,21,english,male,137
90,32,0,"idaho falls, idaho, usa",naturalistic,usa,TRUE,english75,32,english,male,138
91,18,0,"boston, massachusetts, usa",naturalistic,usa,TRUE,english76,18,english,female,139
92,26,0,"melbourne, australia",naturalistic,australia,TRUE,english77,26,english,male,140
93,20,0,"caribou, maine, usa",naturalistic,usa,TRUE,english78,20,english,female,141
94,73,0,"boston, massachusetts, usa",naturalistic,usa,TRUE,english79,73,english,male,142
95,21,0,"perth, australia",naturalistic,"australia,usa",TRUE,english8,4,english,female,143
96,34,0,"glasgow, scotland, uk",naturalistic,"uk, canada",TRUE,english80,34,english,male,144
97,30,0,"st. paul, minnesota, usa",naturalistic,usa,TRUE,english81,30,english,male,145
98,50,0,"chicago, illinois, usa",naturalistic,usa,TRUE,english82,50,english,female,146
99,42,0,"winnfield, louisiana, usa",naturalistic,usa,TRUE,english83,42,english,female,147
100,45,0,"sydney, australia",naturalistic,australia,TRUE,english84,45,english,male,148
101,31,0,"strabane, northern ireland, uk",naturalistic,uk,TRUE,english85,31,english,male,149
102,50,0,"charleston, south carolina, usa",naturalistic,usa,TRUE,english86,50,english,male,150
103,18,0,"tamworth, australia",naturalistic,australia,TRUE,english87,18,english,female,151
104,18,0,"grand rapids, michigan, usa",naturalistic,usa,TRUE,english88,18,english,male,152
105,18,0,"kingston ma, massachusetts, usa",naturalistic,usa,TRUE,english89,18,english,male,153
106,48,0,"carthage, texas, usa",naturalistic,usa,TRUE,english9,48,english,female,154
107,53,0,"pittsburgh, pennsylvania, usa",naturalistic,usa,TRUE,english90,53,english,male,155
108,23,0,"kingston, jamaica",naturalistic,jamaica,TRUE,english91,23,english,male,156
109,22,0,"wisconsin rapids, wisconsin, usa",naturalistic,usa,TRUE,english92,22,english,female,157
110,22,0,"mamou, louisiana, usa",naturalistic,usa,TRUE,english93,22,english,female,158
111,55,0,"pensacola, florida, usa",naturalistic,usa,TRUE,english94,55,english,female,159
112,18,0,"mishawaka, indiana, usa",naturalistic,usa,TRUE,english95,18,english,male,160
113,31,0,"point pleasant, new jersey, usa",naturalistic,usa,TRUE,english96,31,english,male,161
114,42,0,"wilmington nc, north carolina, usa",naturalistic,usa,TRUE,english97,42,english,male,162
115,22,0,"spokane, washington, usa",naturalistic,usa,TRUE,english98,22,english,male,163
116,52,0,"pittsburgh, pennsylvania, usa",naturalistic,usa,TRUE,english99,52,english,female,164
117,26,13,"shanxi province, shanxi, china",academic,usa,TRUE,mandarin1,2,mandarin,female,256
118,38,14,"nanjing, china",academic,usa,TRUE,mandarin2,0.8,mandarin,female,257
119,43,10,"jilin city, jilin, china",academic,usa,TRUE,mandarin3,14,mandarin,male,258
120,24,6,"shanghai, china",academic,usa,TRUE,mandarin4,1,mandarin,female,259
121,31,12,"beijing, china",academic,usa,TRUE,mandarin5,2,mandarin,female,260
122,28,12,"le shan, sichuan, china",academic,usa,TRUE,mandarin6,5,mandarin,female,261
123,22,5,"berkeley, california, usa",naturalistic,usa,TRUE,mandarin7,22,mandarin,male,262
124,24,17,"caracas, venezuela",academic,usa,TRUE,spanish1,0.3,spanish,male,323
125,48,47,"san luis de la reina, el salvador",academic,usa,TRUE,spanish10,10,spanish,male,324
126,49,28,"lima, peru",academic,usa,TRUE,spanish11,9,spanish,female,325
127,25,8,"oviedo, spain",academic,usa,TRUE,spanish12,5,spanish,male,326
128,29,11,"duitama, colombia",academic,usa,TRUE,spanish13,1.2,spanish,female,327
129,34,15,"pereira, colombia",academic,usa,TRUE,spanish14,1,spanish,female,328
130,54,4,"san juan, puerto rico",academic,usa,TRUE,spanish15,21,spanish,male,329
131,44,25,"buenos aires, argentina",naturalistic,usa,TRUE,spanish16,19,spanish,male,330
132,22,9,"puebla, mexico",academic,usa,TRUE,spanish17,10,spanish,female,331
133,22,17,"la paz, bolivia",academic,usa,TRUE,spanish18,2,spanish,male,332
